IID X.A X.B X.C X.D
NB02 0.00743988023880188 0.00291529457130544 0.00158793393665387 0.988056891253239
NB03 0.0374292845304411 0.0275253303066481 0.0155754818011552 0.919469903361756
NB04 0.00687408541864102 0.00210803235085861 0.00262292851537285 0.988394953715128
NB05 0.158898915855593 0.285960033731799 0.165888547321508 0.389252503091101
NB06 0.0444267714462764 0.0420491862981735 0.022900519260458 0.890623522995092
NB07 0.0619097113841765 0.0662100054281192 0.0475758535182162 0.824304429669488
NB10 0.0849416729480464 0.0976325571366854 0.395284739169613 0.422141030745655
NB11 0.199765343176414 0.359423978553019 0.226066255688638 0.214744422581929
NB12 0.0484020085327702 0.0433304405762259 0.0221829132493459 0.886084637641658
NB13 0.0363162762652633 0.0186608888502833 0.0104736644433605 0.934549170441093
NB14 0.0361267960706493 0.0245006513187421 0.0132192076820256 0.926153344928583
NB15 0.201341908235431 0.375530207154938 0.19765762253535 0.225470262074282
NB16 0.0071001613082898 0.00231030959472148 0.00134696918426821 0.98924255991272
NB17 0.0381346143785547 0.0226486320538691 0.0133831608684204 0.925833592699156
PA01 0.00326721313471135 0.0048021205555985 0.00219690699993814 0.989733759309752
PA02 0.0513231914799756 0.0557113331175645 0.860262345942343 0.0327031294601171
PA03 0.0226238008506643 0.0332295462610648 0.199929805447269 0.744216847441002
PA04 0.0104057188754711 0.0134313014834185 0.00795162789143068 0.96821135174968
PA05 0.0793297184776168 0.127625516208068 0.721852434575128 0.0711923307391865
PA07 0.0121850250324198 0.0229445050854491 0.954197398541235 0.0106730713408959
PA08 0.0602191504723485 0.0980416010518613 0.787225869990272 0.0545133784855183
PA09 0.0130052820159822 0.0166865094875661 0.0171850963456891 0.953123112150763
PA10 0.0244987412161174 0.0391677297547626 0.157640746673178 0.778692782355942
PA11 0.0218882522737669 0.0350494182680079 0.0907965530234162 0.852265776434809
PA12 0.0669757710980581 0.0994523158246161 0.760805728227488 0.072766184849838
PA13 0.0380890353487693 0.0514487368609479 0.51083042942045 0.399631798369833
PA14 0.051699106105632 0.0678253013440518 0.846332138214277 0.0341434543360388
PA15 0.0922678595131205 0.155293056255055 0.67738530301352 0.0750537812183053
PA17 0.079276267184441 0.140307449564154 0.430799973316244 0.349616309935161
PA18 0.08368460364518 0.165077625892917 0.178419646204221 0.572818124257682
PA19 0.0949964980396513 0.145511949850714 0.648931548602931 0.110560003506704
PA20 0.19707691164031 0.373220653036571 0.233674817974378 0.196027617348742
PA21 0.0139425328184741 0.018601402677442 0.959769786771885 0.00768627773219877
PA22 0.108428456457968 0.212156977687735 0.355920116898247 0.32349444895605
PA23 0.0537207706367895 0.0803398100860604 0.826170534152539 0.0397688851246114
PA24 0.1048705124036 0.165914402508378 0.617519940346821 0.111695144741201
PA25 0.0748997200468865 0.0894961050067532 0.70187277241871 0.133731402527651
PA26 0.180132621580174 0.283356976322064 0.277740809001531 0.258769593096231
PA27 0.0586237900448667 0.0763285596802842 0.6283138485256 0.236733801749249
RB01 0.0965858989767286 0.0857071274181719 0.773809209562118 0.0438977640429815
RB02 0.0649732838722689 0.0917673581717255 0.798004721795806 0.0452546361601997
RB03 0.122794198239822 0.0685250593716551 0.771602076348086 0.0370786660404376
RB04 0.0925513833084483 0.0524940859524985 0.827096805642638 0.0278577250964154
RB05 0.0190210700123293 0.0175291110119154 0.956663734838808 0.00678608413694773
RB06 0.099878941706831 0.0905546727963447 0.761893599897716 0.0476727855991083
RB07 0.0958977492158515 0.0754858914876159 0.786606589321305 0.0420097699752278
RB08 0.0840238859058237 0.0746350182967518 0.801318542631419 0.0400225531660052
RB09 0.0716127439261321 0.0857643180453364 0.798229513054218 0.0443934249743131
RB10 0.0603147192039376 0.0831045107795766 0.816602547732879 0.0399782222836064
RB11 0.022258749416649 0.0168415723865841 0.954478054508259 0.00642162368850734
RB12 0.075028582743232 0.112229207056849 0.756072821075718 0.0566693891242011
RB13 0.0210579377138373 0.0292859351920708 0.935223620944827 0.0144325061492644
RB14 0.106568919391932 0.0924012064845236 0.754240985287182 0.0467888888363632
RB15 0.0708565106496625 0.0865603682365263 0.799961721732784 0.0426213993810276
RB16 0.0675275671143834 0.0766923408403791 0.818694613225051 0.0370854788201865
RB17 0.0578932180047799 0.0955590253770211 0.799579089956131 0.0469686666620675
RB19 0.0729478063267656 0.0953787805507016 0.784448325798949 0.0472250873235839
RB20 0.0158983243185808 0.0147138234546461 0.963689802104215 0.00569805012255781
RL01 0.0944467357564691 0.152496562845456 0.672387966620816 0.0806687347772591
RL02 0.0635951233855692 0.0768892051531043 0.820211142809479 0.0393045286518475
RL03 0.0561659909849464 0.0763616769266622 0.829602363620287 0.0378699684681046
RL04 0.0952570986400891 0.0647236852744194 0.804441064621018 0.0355781514644737
RL06 0.123079045264218 0.0630179887694692 0.776417224043603 0.0374857419227101
RL07 0.0620972299878811 0.0558698282394738 0.85242124149312 0.029611700279525
RL08 0.0138533243648645 0.0161706683486142 0.963342547481246 0.00663345980527488
RL09 0.0814221048123909 0.0598648307617942 0.823667186527175 0.0350458778986398
RL10 0.139955379327981 0.0828531843108294 0.730785777535303 0.0464056588258865
RL11 0.0113909309679621 0.0110713616920803 0.972708861140621 0.00482884619933654
RL12 0.0910717683108879 0.0693210009886903 0.800515091111425 0.0390921395889971
RL13 0.122266332475605 0.120705819779572 0.683164956578964 0.0738628911658593
RL15 0.0778326165522169 0.0861653726878914 0.790234534230411 0.0457674765294804
RL17 0.0845724780696379 0.062618491017911 0.818316062756769 0.0344929681556821
RL18 0.0115986451028162 0.0118074789846051 0.9719787250853 0.00461515082727833
RL20 0.0539981807954804 0.052041466231953 0.866242131361451 0.0277182216111154
RL21 0.0580395881803283 0.059395046292043 0.851897887413979 0.0306674781136501
RL22 0.0642668349400954 0.113372183137037 0.76824960796388 0.0541113739589879
RL23 0.0641323031193739 0.0745362827623705 0.818284719134721 0.0430466949835349
TR01 0.0690987153065575 0.064540943779667 0.832493869900686 0.0338664710130896
TR02 0.0155793525214756 0.0185032085491453 0.958558306455914 0.00735913247346532
TR03 0.0687618052192926 0.0560280735398288 0.844180375392276 0.0310297458486027
TR04 0.072907494705533 0.072485511657879 0.81550549962963 0.0391014940069584
TR05 0.18656211958803 0.297474713575717 0.365194919074522 0.15076824776173
TR06 0.0619683999329898 0.0697750846324124 0.830397067540242 0.0378594478943562
TR07 0.0731522099032599 0.0854768177544688 0.794454635227789 0.0469163371144817
TR08 0.0692275588680853 0.0674635749383065 0.825507366698673 0.0378014994949348
TR09 0.0173221796286206 0.0205417336918094 0.953642688343866 0.00849339833570351
TR10 0.0127604271656942 0.0170361440826028 0.963046450440106 0.00715697831159662
TR11 0.0123628697197853 0.0148352626214275 0.96712052473972 0.00568134291906759
TR12 0.0799607862000839 0.0694878220478787 0.810454693524941 0.0400966982270968
TR13 0.0760603014107168 0.0860829027218802 0.785801683977938 0.0520551118894646
TR14 0.08219271573307 0.0661661447212219 0.813731374804834 0.0379097647408746
TR15 0.0624983553542678 0.0863104855438126 0.806281987599281 0.0449091715026383
TR16 0.0741013809618446 0.0893261475453555 0.790073194124362 0.0464992773684384
TR17 0.0651510663265473 0.0756721355596845 0.818782063515473 0.0403947345982955
